code_0,code_1,code_2
CuBM13,CuBM13_S15,cubm_13
CuBM12,CuBM12_S6,cubm_12
CuBM16,CuBM16_S39,cubm_16
ZnBM46,ZnBM46_S89,znbm_46
CoBM1,CoBM1_S3,cobm_1
NiBM12,NiBM12_S79,nibm_12
ZnBM37,ZnBM37_S88,znbm_37
CoBM21,CoBM21_S61,cobm_21
MnBM21,MnBM21_S64,mnbm_21
CuBM10,CuBM10_S54,cubm_10
NiBM29,NiBM29_S92,nibm_29
CdBM44,CdBM44_S27,cdbm_44
CoBM18,CoBM18_S45,cobm_18
ZnBM34,ZnBM34_S82,znbm_34
MnBM18,MnBM18_S48,mnbm_18
CoBM4,CoBM4_S28,cobm_4
CdBM37,CdBM37_S58,cdbm_37
MnBM38,MnBM38_S72,mnbm_38
ZnBM11,ZnBM11_S104,znbm_11
NiBM25,NiBM25_S74,nibm_25
CuBM6,CuBM6_S22,cubm_6
MnBM28,MnBM28_S41,mnbm_28
NiBM21,NiBM21_S103,nibm_21
ZnBM44,ZnBM44_S77,znbm_44
CoBM12,CoBM12_S4,cobm_12
CoBM16,CoBM16_S29,cobm_16
NiBM4,NiBM4_S96,nibm_4
CuBM3,CuBM3_S5,cubm_3
CdBM25,CdBM25_S10,cdbm_25
CuBM4,CuBM4_S14,cubm_4
MnBM23,MnBM23_S8,mnbm_23
MnBM24,MnBM24_S17,mnbm_24
ZnBM23,ZnBM23_S99,znbm_23
MnBM25,MnBM25_S25,mnbm_25
ZnBM28,ZnBM28_S111,znbm_28
CoBM14,CoBM14_S13,cobm_14
NiBM14,NiBM14_S85,nibm_14
ZnBM12,ZnBM12_S110,znbm_12
CoBM8,CoBM8_S60,cobm_8
MnBM29,MnBM29_S49,mnbm_29
NiBM24,NiBM24_S68,nibm_24
MnBM15,MnBM15_S24,mnbm_15
CdBM42,CdBM42_S11,cdbm_42
ZnBM31,ZnBM31_S76,znbm_31
NiBM17,NiBM17_S97,nibm_17
ZnBM25,ZnBM25_S105,znbm_25
CoBM20,CoBM20_S53,cobm_20
ZnBM16,ZnBM16_S75,znbm_16
CoBM6,CoBM6_S44,cobm_6
CdBM36,CdBM36_S50,cdbm_36
CoBM2,CoBM2_S12,cobm_2
ZnBM45,ZnBM45_S83,znbm_45
CdBM32,CdBM32_S42,cdbm_32
MnBM34,MnBM34_S66,mnbm_34
CuBM8,CuBM8_S38,cubm_8
NiBM9,NiBM9_S67,nibm_9
MnBM31,MnBM31_S57,mnbm_31
CdBM26,CdBM26_S18,cdbm_26
MnBM14,MnBM14_S16,mnbm_14
ZnBM38,ZnBM38_S94,znbm_38
ZnBM15,ZnBM15_S69,znbm_15
ZnBM47,ZnBM47_S95,znbm_47
CoBM17,CoBM17_S37,cobm_17
NiBM8,NiBM8_S108,nibm_8
NiBM11,NiBM11_S73,nibm_11
NiBM22,NiBM22_S109,nibm_22
CoBM7,CoBM7_S52,cobm_7
NiBM28,NiBM28_S86,nibm_28
MnBM42,MnBM42_S84,mnbm_42
MnBM12,MnBM12_S63,mnbm_12
MnBM32,MnBM32_S65,mnbm_32
CdBM47,CdBM47_S51,cdbm_47
CdBM30,CdBM30_S34,cdbm_30
CdBM43,CdBM43_S19,cdbm_43
MnBM39,MnBM39_S78,mnbm_39
CdBM23,CdBM23_S1,cdbm_23
CoBM3,CoBM3_S20,cobm_3
ZnBM22,ZnBM22_S93,znbm_22
NiBM30,NiBM30_S98,nibm_30
CdBM48,CdBM48_S59,cdbm_48
ZnBM29,ZnBM29_S70,znbm_29
CoBM5,CoBM5_S36,cobm_5
CdBM39,CdBM39_S2,cdbm_39
MnBM13,MnBM13_S7,mnbm_13
NiBM16,NiBM16_S91,nibm_16
NiBM27,NiBM27_S80,nibm_27
ZnBM39,ZnBM39_S100,znbm_39
ZnBM41,ZnBM41_S106,znbm_41
MnBM20,MnBM20_S56,mnbm_20
ZnBM19,ZnBM19_S87,znbm_19
ZnBM43,ZnBM43_S71,znbm_43
CoBM15,CoBM15_S21,cobm_15
NiBM6,NiBM6_S102,nibm_6
W303,W303,W303
MnBM16,MnBM16_S32,mnbm_16
CdBM29,CdBM29_S26,cdbm_29
CdBM46,CdBM46_S43,cdbm_46
ZnBM42,ZnBM42_S112,znbm_42
MnBM44,MnBM44_S90,mnbm_44
CdBM45,CdBM45_S35,cdbm_45
MnBM27,MnBM27_S33,mnbm_27
ZnBM17,ZnBM17_S81,znbm_17
MnBM17,MnBM17_S40,mnbm_17
CuBM17,CuBM17_S47,cubm_17
CuBM11,CuBM11_S62,cubm_11
CuBM14,CuBM14_S23,cubm_14
CuBM15,CuBM15_S31,cubm_15
CuBM9,CuBM9_S46,cubm_9
CuBM7,CuBM7_S30,cubm_7
CuBM18,CuBM18_S55,cubm_18
CdBM21,NA,cdbm_21
CdBM22,NA,cdbm_22
CdBM28,NA,cdbm_28
CdBM31,NA,cdbm_31
CdBM40,NA,cdbm_40
CuBM11,NA,cubm_11
ZnBM32,NA,znbm_32
ZnBM5,NA,znbm_5
ZnBM6,NA,znbm_6
ZnBM7,NA,znbm_7
ZnBM8,NA,znbm_8
ZnBM9,NA,znbm_9