line,CUP,strain,E1,E2,anc_slope,avg_slope,relfit1
CdBM23_S1,0.96,cdbm_23,Cd,Cu,0.007310672062,0.07959597768,0.07228530561
CdBM25_S10,0.73,cdbm_25,Cd,Cu,0.007310672062,0.01261087693,0.005300204867
CdBM26_S18,0.85,cdbm_26,Cd,Cu,0.007310672062,0.09447909203,0.08716841997
CdBM29_S26,0.92,cdbm_29,Cd,Cu,0.007310672062,0.007072788237,-2.38E-04
CdBM30_S34,0.81,cdbm_30,Cd,Cu,0.007310672062,0.01319416915,0.005883497087
CdBM32_S42,0.85,cdbm_32,Cd,Cu,0.007310672062,0.0153877122,0.008077040142
CdBM36_S50,0.85,cdbm_36,Cd,Cu,0.007310672062,0.01663621653,0.009325544467
CdBM37_S58,0.68,cdbm_37,Cd,Cu,0.007310672062,0.08417154105,0.07686086898
CdBM39_S2,0.92,cdbm_39,Cd,Cu,0.007310672062,0.02522438875,0.01791371669
CdBM42_S11,0.80,cdbm_42,Cd,Cu,0.007310672062,0.05586018523,0.04854951316
CdBM43_S19,0.84,cdbm_43,Cd,Cu,0.007310672062,0.06737108947,0.06006041741
CdBM44_S27,0.65,cdbm_44,Cd,Cu,0.007310672062,0.01450070838,0.007190036316
CdBM45_S35,1.24,cdbm_45,Cd,Cu,0.007310672062,0.07255881455,0.06524814249
CdBM46_S43,1.12,cdbm_46,Cd,Cu,0.007310672062,0.1093323434,0.1020216713
CdBM47_S51,0.81,cdbm_47,Cd,Cu,0.007310672062,0.1065266711,0.09921599901
CdBM48_S59,0.90,cdbm_48,Cd,Cu,0.007310672062,0.01680129317,0.009490621111
CoBM12_S4,0.75,cobm_12,Co,Cu,0.007310672062,0.04309027506,0.035779603
CoBM14_S13,0.71,cobm_14,Co,Cu,0.007310672062,0.01033067445,0.003020002393
CoBM15_S21,0.92,cobm_15,Co,Cu,0.007310672062,0.1130052724,0.1056946003
CoBM16_S29,0.73,cobm_16,Co,Cu,0.007310672062,0.007930003973,6.19E-04
CoBM17_S37,0.75,cobm_17,Co,Cu,0.007310672062,0.02628166159,0.01897098953
CoBM18_S45,0.70,cobm_18,Co,Cu,0.007310672062,0.067809899,0.06049922693
CoBM1_S3,0.62,cobm_1,Co,Cu,0.007310672062,0.01826741642,0.01095674435
CoBM20_S53,0.74,cobm_20,Co,Cu,0.007310672062,0.01959456076,0.0122838887
CoBM21_S61,0.65,cobm_21,Co,Cu,0.007310672062,0.01171374041,0.004403068352
CoBM2_S12,0.76,cobm_2,Co,Cu,0.007310672062,0.1120089127,0.1046982407
CoBM3_S20,0.94,cobm_3,Co,Cu,0.007310672062,0.04073585268,0.03342518062
CoBM4_S28,0.71,cobm_4,Co,Cu,0.007310672062,0.01395773746,0.006647065398
CoBM5_S36,0.91,cobm_5,Co,Cu,0.007310672062,0.1523371059,0.1450264338
CoBM6_S44,0.77,cobm_6,Co,Cu,0.007310672062,0.1632822591,0.1559715871
CoBM7_S52,0.80,cobm_7,Co,Cu,0.007310672062,0.112872103,0.1055614309
CoBM8_S60,0.72,cobm_8,Co,Cu,0.007310672062,0.155854555,0.1485438829
CuBM10_S54,0.62,cubm_10,Cu,Cu,0.007310672062,0.1616894323,0.1543787603
CuBM11_S62,1.47,cubm_11,Cu,Cu,0.007310672062,0.1184550984,0.1111444263
CuBM12_S6,0.48,cubm_12,Cu,Cu,0.007310672062,0.1587499241,0.151439252
CuBM13_S15,0.47,cubm_13,Cu,Cu,0.007310672062,0.1284043659,0.1210936939
CuBM14_S23,1.82,cubm_14,Cu,Cu,0.007310672062,0.1684224763,0.1611118043
CuBM15_S31,1.72,cubm_15,Cu,Cu,0.007310672062,0.1346246791,0.127314007
CuBM16_S39,0.69,cubm_16,Cu,Cu,0.007310672062,0.1059607357,0.0986500636
CuBM17_S47,1.34,cubm_17,Cu,Cu,0.007310672062,0.1286504391,0.1213397671
CuBM18_S55,2.45,cubm_18,Cu,Cu,0.007310672062,0.1625806304,0.1552699584
CuBM3_S5,0.68,cubm_3,Cu,Cu,0.007310672062,0.1516265184,0.1443158464
CuBM4_S14,0.64,cubm_4,Cu,Cu,0.007310672062,0.1252303565,0.1179196845
CuBM6_S22,0.63,cubm_6,Cu,Cu,0.007310672062,0.1644992898,0.1571886177
CuBM7_S30,2.18,cubm_7,Cu,Cu,0.007310672062,0.1366693736,0.1293587015
CuBM8_S38,0.85,cubm_8,Cu,Cu,0.007310672062,0.1094649061,0.1021542341
CuBM9_S46,2.04,cubm_9,Cu,Cu,0.007310672062,0.1590671489,0.1517564768
MnBM12_S63,0.79,mnbm_12,Mn,Cu,0.007310672062,0.00908789658,0.001777224518
MnBM13_S7,0.81,mnbm_13,Mn,Cu,0.007310672062,0.01897697239,0.01166630033
MnBM14_S16,0.96,mnbm_14,Mn,Cu,0.007310672062,0.0138581096,0.006547437537
MnBM15_S24,0.73,mnbm_15,Mn,Cu,0.007310672062,0.01498596871,0.007675296648
MnBM16_S32,1.04,mnbm_16,Mn,Cu,0.007310672062,0.008715946395,0.001405274333
MnBM17_S40,1.17,mnbm_17,Mn,Cu,0.007310672062,0.01023455918,0.002923887121
MnBM18_S48,0.66,mnbm_18,Mn,Cu,0.007310672062,0.0151619203,0.007851248236
MnBM20_S56,0.96,mnbm_20,Mn,Cu,0.007310672062,0.009607457654,0.002296785592
MnBM21_S64,0.69,mnbm_21,Mn,Cu,0.007310672062,0.007978858543,6.68E-04
MnBM23_S8,0.76,mnbm_23,Mn,Cu,0.007310672062,0.01536970592,0.008059033861
MnBM24_S17,0.65,mnbm_24,Mn,Cu,0.007310672062,0.01857173508,0.01126106302
MnBM25_S25,0.67,mnbm_25,Mn,Cu,0.007310672062,0.02812104473,0.02081037267
MnBM27_S33,1.12,mnbm_27,Mn,Cu,0.007310672062,0.01701160761,0.009700935544
MnBM28_S41,0.65,mnbm_28,Mn,Cu,0.007310672062,0.01112729381,0.003816621746
MnBM29_S49,0.77,mnbm_29,Mn,Cu,0.007310672062,0.009641706858,0.002331034796
MnBM31_S57,0.83,mnbm_31,Mn,Cu,0.007310672062,0.0141326669,0.006821994833
MnBM32_S65,0.79,mnbm_32,Mn,Cu,0.007310672062,0.0442325416,0.03692186954
MnBM34_S66,0.75,mnbm_34,Mn,Cu,0.007310672062,0.008660120782,0.001349448719
MnBM38_S72,0.64,mnbm_38,Mn,Cu,0.007310672062,0.01637358233,0.009062910269
MnBM39_S78,0.82,mnbm_39,Mn,Cu,0.007310672062,0.06298245971,0.05567178765
MnBM42_S84,0.80,mnbm_42,Mn,Cu,0.007310672062,0.01105580539,0.003745133323
MnBM44_S90,0.98,mnbm_44,Mn,Cu,0.007310672062,0.103129437,0.09581876499
NiBM11_S73,0.88,nibm_11,Ni,Cu,0.007310672062,0.008766449619,0.001455777557
NiBM12_S79,0.57,nibm_12,Ni,Cu,0.007310672062,0.01139938793,0.004088715866
NiBM14_S85,0.75,nibm_14,Ni,Cu,0.007310672062,0.007438946129,1.28E-04
NiBM16_S91,0.88,nibm_16,Ni,Cu,0.007310672062,0.01275842502,0.005447752954
NiBM17_S97,0.69,nibm_17,Ni,Cu,0.007310672062,0.05435860648,0.04704793442
NiBM21_S103,0.77,nibm_21,Ni,Cu,0.007310672062,0.01509652785,0.007785855789
NiBM22_S109,0.88,nibm_22,Ni,Cu,0.007310672062,0.01030269892,0.002992026862
NiBM24_S68,0.73,nibm_24,Ni,Cu,0.007310672062,0.008680170513,0.001369498451
NiBM25_S74,0.76,nibm_25,Ni,Cu,0.007310672062,0.04363103538,0.03632036332
NiBM27_S80,0.86,nibm_27,Ni,Cu,0.007310672062,0.01189923348,0.004588561422
NiBM28_S86,0.83,nibm_28,Ni,Cu,0.007310672062,0.01175338779,0.004442715724
NiBM29_S92,0.70,nibm_29,Ni,Cu,0.007310672062,0.008368733082,0.001058061019
NiBM30_S98,0.90,nibm_30,Ni,Cu,0.007310672062,0.01299519438,0.005684522322
NiBM4_S96,0.69,nibm_4,Ni,Cu,0.007310672062,0.0482392503,0.04092857824
NiBM6_S102,0.95,nibm_6,Ni,Cu,0.007310672062,0.007068686091,-2.42E-04
NiBM8_S108,0.84,nibm_8,Ni,Cu,0.007310672062,0.007924050116,6.13E-04
NiBM9_S67,0.79,nibm_9,Ni,Cu,0.007310672062,0.01217447856,0.004863806502
OLY077_S101,1.00,OLY077,.YPAD,Cu,0.007310672062,0.007310672062,0
ZnBM11_S104,0.63,znbm_11,Zn,Cu,0.007310672062,0.1297586978,0.1224480257
ZnBM12_S110,0.73,znbm_12,Zn,Cu,0.007310672062,0.0058977399,-0.001412932162
ZnBM15_S69,0.81,znbm_15,Zn,Cu,0.007310672062,0.1390390058,0.1317283337
ZnBM16_S75,0.77,znbm_16,Zn,Cu,0.007310672062,0.007813682731,5.03E-04
ZnBM17_S81,1.06,znbm_17,Zn,Cu,0.007310672062,0.0998438174,0.09253314534
ZnBM19_S87,0.91,znbm_19,Zn,Cu,0.007310672062,0.009448599414,0.002137927352
ZnBM22_S93,0.94,znbm_22,Zn,Cu,0.007310672062,0.009642490784,0.002331818721
ZnBM23_S99,0.80,znbm_23,Zn,Cu,0.007310672062,0.1355860071,0.128275335
ZnBM25_S105,0.69,znbm_25,Zn,Cu,0.007310672062,0.06712720127,0.05981652921
ZnBM28_S111,0.89,znbm_28,Zn,Cu,0.007310672062,0.01192740188,0.004616729815
ZnBM29_S70,0.80,znbm_29,Zn,Cu,0.007310672062,0.1320506675,0.1247399955
ZnBM31_S76,0.82,znbm_31,Zn,Cu,0.007310672062,0.1322907942,0.1249801221
ZnBM34_S82,0.61,znbm_34,Zn,Cu,0.007310672062,0.1155331846,0.1082225125
ZnBM37_S88,0.60,znbm_37,Zn,Cu,0.007310672062,0.09955679936,0.0922461273
ZnBM38_S94,0.79,znbm_38,Zn,Cu,0.007310672062,0.1080449824,0.1007343104
ZnBM39_S100,0.96,znbm_39,Zn,Cu,0.007310672062,0.1085603852,0.1012497131
ZnBM41_S106,0.87,znbm_41,Zn,Cu,0.007310672062,0.1138743518,0.1065636797
ZnBM42_S112,0.97,znbm_42,Zn,Cu,0.007310672062,0.0247449003,0.01743422824
ZnBM43_S71,0.88,znbm_43,Zn,Cu,0.007310672062,0.1221329442,0.1148222721
ZnBM44_S77,0.65,znbm_44,Zn,Cu,0.007310672062,0.009663718026,0.002353045964
ZnBM45_S83,0.75,znbm_45,Zn,Cu,0.007310672062,0.07232381891,0.06501314684
ZnBM46_S89,0.54,znbm_46,Zn,Cu,0.007310672062,0.02172429173,0.01441361967
ZnBM47_S95,0.75,znbm_47,Zn,Cu,0.007310672062,0.05091925484,0.04360858278